pen-scored,season,competition,club,date,home-team,final-result,away-team,minute,score-before-pk,goal-keeper,goal-keeper-link
1,20/21,EURO 2020,Portugal,"Jun 23, 2021",Portugal,2:2,France,60',2:2,Hugo Lloris,https://www.transfermarkt.us/hugo-lloris/elfmeterstatistik/spieler/17965
1,20/21,EURO 2020,Portugal,"Jun 23, 2021",Portugal,2:2,France,30',1:0,Hugo Lloris,https://www.transfermarkt.us/hugo-lloris/elfmeterstatistik/spieler/17965
1,20/21,EURO 2020,Portugal,"Jun 15, 2021",Hungary,0:3,Portugal,87',0:2,Péter Gulácsi,https://www.transfermarkt.us/peter-gulacsi/elfmeterstatistik/spieler/57071
1,20/21,Serie A,Juventus FC,"May 2, 2021",Udinese Calcio,1:2,Juventus FC,83',1:1,Simone Scuffet,https://www.transfermarkt.us/simone-scuffet/elfmeterstatistik/spieler/238993
1,20/21,Serie A,Juventus FC,"Mar 14, 2021",Cagliari Calcio,1:3,Juventus FC,25',0:2,Alessio Cragno,https://www.transfermarkt.us/alessio-cragno/elfmeterstatistik/spieler/12907
1,20/21,Italy Cup,Juventus FC,"Feb 2, 2021",Inter Milan,1:2,Juventus FC,26',1:1,Samir Handanovic,https://www.transfermarkt.us/samir-handanovic/elfmeterstatistik/spieler/28021
1,20/21,Serie A,Juventus FC,"Dec 13, 2020",Genoa CFC,1:3,Juventus FC,89',1:3,Mattia Perin,https://www.transfermarkt.us/mattia-perin/elfmeterstatistik/spieler/110923
1,20/21,Serie A,Juventus FC,"Dec 13, 2020",Genoa CFC,1:3,Juventus FC,78',1:2,Mattia Perin,https://www.transfermarkt.us/mattia-perin/elfmeterstatistik/spieler/110923
1,20/21,UEFA Champions League,Juventus FC,"Dec 8, 2020",FC Barcelona,0:3,Juventus FC,52',0:3,Marc-André ter Stegen,https://www.transfermarkt.us/marc-andre-ter-stegen/elfmeterstatistik/spieler/74857
1,20/21,UEFA Champions League,Juventus FC,"Dec 8, 2020",FC Barcelona,0:3,Juventus FC,13',0:1,Marc-André ter Stegen,https://www.transfermarkt.us/marc-andre-ter-stegen/elfmeterstatistik/spieler/74857
1,20/21,Serie A,Juventus FC,"Nov 1, 2020",Spezia Calcio,1:4,Juventus FC,76',1:4,Ivan Provedel,https://www.transfermarkt.us/ivan-provedel/elfmeterstatistik/spieler/197929
1,20/21,Serie A,Juventus FC,"Sep 27, 2020",AS Roma,2:2,Juventus FC,44',1:1,Antonio Mirante,https://www.transfermarkt.us/antonio-mirante/elfmeterstatistik/spieler/22141
1,19/20,UEFA Champions League,Juventus FC,"Aug 7, 2020",Juventus FC,2:1,Olympique Lyon,43',1:1,Anthony Lopes,https://www.transfermarkt.us/anthony-lopes/elfmeterstatistik/spieler/60561
1,19/20,Serie A,Juventus FC,"Jul 20, 2020",Juventus FC,2:1,SS Lazio,51',1:0,Thomas Strakosha,https://www.transfermarkt.us/thomas-strakosha/elfmeterstatistik/spieler/222209
1,19/20,Serie A,Juventus FC,"Jul 11, 2020",Juventus FC,2:2,Atalanta BC,90',2:2,Pierluigi Gollini,https://www.transfermarkt.us/pierluigi-gollini/elfmeterstatistik/spieler/244192
1,19/20,Serie A,Juventus FC,"Jul 11, 2020",Juventus FC,2:2,Atalanta BC,55',1:1,Pierluigi Gollini,https://www.transfermarkt.us/pierluigi-gollini/elfmeterstatistik/spieler/244192
1,19/20,Serie A,Juventus FC,"Jun 26, 2020",Juventus FC,4:0,US Lecce,62',2:0,Gabriel,https://www.transfermarkt.us/gabriel/elfmeterstatistik/spieler/79242
1,19/20,Serie A,Juventus FC,"Jun 22, 2020",Bologna FC 1909,0:2,Juventus FC,23',0:1,Lukasz Skorupski,https://www.transfermarkt.us/lukasz-skorupski/elfmeterstatistik/spieler/80894
1,19/20,Italy Cup,Juventus FC,"Feb 13, 2020",AC Milan,1:1,Juventus FC,90',1:1,Gianluigi Donnarumma,https://www.transfermarkt.us/gianluigi-donnarumma/elfmeterstatistik/spieler/315858
1,19/20,Serie A,Juventus FC,"Feb 2, 2020",Juventus FC,3:0,ACF Fiorentina,80',2:0,Bartlomiej Dragowski,https://www.transfermarkt.us/bartlomiej-dragowski/elfmeterstatistik/spieler/208166
1,19/20,Serie A,Juventus FC,"Feb 2, 2020",Juventus FC,3:0,ACF Fiorentina,40',1:0,Bartlomiej Dragowski,https://www.transfermarkt.us/bartlomiej-dragowski/elfmeterstatistik/spieler/208166
1,19/20,Serie A,Juventus FC,"Jan 12, 2020",AS Roma,1:2,Juventus FC,10',0:2,Pau López,https://www.transfermarkt.us/pau-lopez/elfmeterstatistik/spieler/286415
1,19/20,Serie A,Juventus FC,"Jan 6, 2020",Juventus FC,4:0,Cagliari Calcio,67',2:0,Robin Olsen,https://www.transfermarkt.us/robin-olsen/elfmeterstatistik/spieler/75458
1,19/20,Serie A,Juventus FC,"Dec 1, 2019",Juventus FC,2:2,US Sassuolo,68',2:2,Stefano Turati,https://www.transfermarkt.us/stefano-turati/elfmeterstatistik/spieler/543666
1,18/19,European Qualifiers,Portugal,"Nov 14, 2019",Portugal,6:0,Lithuania,7',1:0,Ernestas Setkus,https://www.transfermarkt.us/ernestas-setkus/elfmeterstatistik/spieler/147028
1,19/20,Serie A,Juventus FC,"Oct 30, 2019",Juventus FC,2:1,Genoa CFC,90',2:1,Ionut Radu,https://www.transfermarkt.us/ionut-radu/elfmeterstatistik/spieler/303657
1,18/19,European Qualifiers,Portugal,"Oct 14, 2019",Ukraine,2:1,Portugal,73',2:1,Andriy Pyatov,https://www.transfermarkt.us/andriy-pyatov/elfmeterstatistik/spieler/39996
1,19/20,Serie A,Juventus FC,"Sep 21, 2019",Juventus FC,2:1,Hellas Verona,49',2:1,Marco Silvestri,https://www.transfermarkt.us/marco-silvestri/elfmeterstatistik/spieler/85528
1,18/19,European Qualifiers,Portugal,"Sep 10, 2019",Lithuania,1:5,Portugal,7',0:1,Ernestas Setkus,https://www.transfermarkt.us/ernestas-setkus/elfmeterstatistik/spieler/147028
1,18/19,UEFA Champions League,Juventus FC,"Mar 12, 2019",Juventus FC,3:0,Atlético de Madrid,86',3:0,Jan Oblak,https://www.transfermarkt.us/jan-oblak/elfmeterstatistik/spieler/121483
1,18/19,Serie A,Juventus FC,"Jan 27, 2019",SS Lazio,1:2,Juventus FC,88',1:2,Thomas Strakosha,https://www.transfermarkt.us/thomas-strakosha/elfmeterstatistik/spieler/222209
1,18/19,Serie A,Juventus FC,"Dec 29, 2018",Juventus FC,2:1,UC Sampdoria,65',2:1,Emil Audero,https://www.transfermarkt.us/emil-audero/elfmeterstatistik/spieler/256339
1,18/19,Serie A,Juventus FC,"Dec 15, 2018",Torino FC,0:1,Juventus FC,70',0:1,Salvador Ichazo,https://www.transfermarkt.us/salvador-ichazo/elfmeterstatistik/spieler/131098
1,18/19,Serie A,Juventus FC,"Dec 1, 2018",ACF Fiorentina,0:3,Juventus FC,79',0:3,Alban Lafont,https://www.transfermarkt.us/alban-lafont/elfmeterstatistik/spieler/357117
1,18/19,Serie A,Juventus FC,"Oct 27, 2018",Empoli FC ,1:2,Juventus FC,54',1:1,Ivan Provedel,https://www.transfermarkt.us/ivan-provedel/elfmeterstatistik/spieler/197929
1,17/18,World Cup 2018,Portugal,"Jun 15, 2018",Portugal,3:3,Spain,4',1:0,David de Gea,https://www.transfermarkt.us/david-de-gea/elfmeterstatistik/spieler/59377
1,17/18,UEFA Champions League,Real Madrid,"Apr 11, 2018",Real Madrid,1:3,Juventus FC,90',1:3,Gianluigi Buffon,https://www.transfermarkt.us/gianluigi-buffon/elfmeterstatistik/spieler/5023
1,17/18,UEFA Champions League,Real Madrid,"Feb 14, 2018",Real Madrid,3:1,Paris Saint-Germain,45',1:1,Alphonse Areola,https://www.transfermarkt.us/alphonse-areola/elfmeterstatistik/spieler/120629
1,17/18,LaLiga,Real Madrid,"Jan 27, 2018",Valencia CF,1:4,Real Madrid,38',0:2,Neto,https://www.transfermarkt.us/neto/elfmeterstatistik/spieler/111819
1,17/18,LaLiga,Real Madrid,"Jan 27, 2018",Valencia CF,1:4,Real Madrid,16',0:1,Neto,https://www.transfermarkt.us/neto/elfmeterstatistik/spieler/111819
1,17/18,LaLiga,Real Madrid,"Dec 9, 2017",Real Madrid,5:0,Sevilla FC,31',3:0,Sergio Rico,https://www.transfermarkt.us/sergio-rico/elfmeterstatistik/spieler/207302
1,17/18,UEFA Champions League,Real Madrid,"Oct 17, 2017",Real Madrid,1:1,Tottenham Hotspur,43',1:1,Hugo Lloris,https://www.transfermarkt.us/hugo-lloris/elfmeterstatistik/spieler/17965
1,17/18,UEFA Champions League,Real Madrid,"Sep 13, 2017",Real Madrid,3:0,APOEL Nicosia,51',2:0,Boy Waterman,https://www.transfermarkt.us/boy-waterman/elfmeterstatistik/spieler/4391
1,16/17,World Cup qualification Europe,Portugal,"Aug 31, 2017",Portugal,5:1,Faroe Islands,29',2:0,Gunnar Nielsen,https://www.transfermarkt.us/gunnar-nielsen/elfmeterstatistik/spieler/23086
1,16/17,Confederations Cup 2017,Portugal,"Jun 24, 2017",New Zealand,0:4,Portugal,33',0:1,Stefan Marinovic,https://www.transfermarkt.us/stefan-marinovic/elfmeterstatistik/spieler/120619
1,16/17,LaLiga,Real Madrid,"Mar 1, 2017",Real Madrid,3:3,UD Las Palmas,86',2:3,Javi Varas,https://www.transfermarkt.us/javi-varas/elfmeterstatistik/spieler/58341
1,16/17,LaLiga,Real Madrid,"Feb 26, 2017",Villarreal CF,2:3,Real Madrid,74',2:2,Andrés Fernández,https://www.transfermarkt.us/andres-fernandez/elfmeterstatistik/spieler/57522
1,16/17,LaLiga,Real Madrid,"Jan 15, 2017",Sevilla FC,2:1,Real Madrid,67',0:1,Sergio Rico,https://www.transfermarkt.us/sergio-rico/elfmeterstatistik/spieler/207302
1,16/17,FIFA Club World Cup,Real Madrid,"Dec 18, 2016",Real Madrid,4:2,Kashima Antlers,60',2:2,Hitoshi Sogahata,https://www.transfermarkt.us/hitoshi-sogahata/elfmeterstatistik/spieler/27796
1,16/17,LaLiga,Real Madrid,"Nov 26, 2016",Real Madrid,2:1,Sporting Gijón,5',1:0,Diego Mariño,https://www.transfermarkt.us/diego-marino/elfmeterstatistik/spieler/59349
1,16/17,LaLiga,Real Madrid,"Nov 19, 2016",Atlético de Madrid,0:3,Real Madrid,71',0:2,Jan Oblak,https://www.transfermarkt.us/jan-oblak/elfmeterstatistik/spieler/121483
1,16/17,World Cup qualification Europe,Portugal,"Nov 13, 2016",Portugal,4:1,Latvia,28',1:0,Andris Vanins,https://www.transfermarkt.us/andris-vanins/elfmeterstatistik/spieler/15403
1,16/17,LaLiga,Real Madrid,"Oct 29, 2016",Deportivo Alavés,1:4,Real Madrid,17',1:1,Fernando Pacheco,https://www.transfermarkt.us/fernando-pacheco/elfmeterstatistik/spieler/172015
1,15/16,LaLiga,Real Madrid,"Mar 2, 2016",Levante UD,1:3,Real Madrid,34',0:1,Diego Mariño,https://www.transfermarkt.us/diego-marino/elfmeterstatistik/spieler/59349
1,15/16,LaLiga,Real Madrid,"Jan 31, 2016",Real Madrid,6:0,RCD Espanyol Barcelona,12',2:0,Giedrius Arlauskis,https://www.transfermarkt.us/giedrius-arlauskis/elfmeterstatistik/spieler/69001
1,15/16,LaLiga,Real Madrid,"Dec 30, 2015",Real Madrid,3:1,Real Sociedad,42',1:0,Gerónimo Rulli,https://www.transfermarkt.us/geronimo-rulli/elfmeterstatistik/spieler/229604
1,15/16,LaLiga,Real Madrid,"Dec 20, 2015",Real Madrid,10:2,Rayo Vallecano,30',3:2,Yoel Rodríguez,https://www.transfermarkt.us/yoel-rodriguez/elfmeterstatistik/spieler/58115
1,15/16,LaLiga,Real Madrid,"Nov 29, 2015",SD Eibar,0:2,Real Madrid,82',0:2,Asier Riesgo,https://www.transfermarkt.us/asier-riesgo/elfmeterstatistik/spieler/23338
1,15/16,UEFA Champions League,Real Madrid,"Sep 15, 2015",Real Madrid,4:0,Shakhtar Donetsk,64',3:0,Andriy Pyatov,https://www.transfermarkt.us/andriy-pyatov/elfmeterstatistik/spieler/39996
1,15/16,UEFA Champions League,Real Madrid,"Sep 15, 2015",Real Madrid,4:0,Shakhtar Donetsk,56',2:0,Andriy Pyatov,https://www.transfermarkt.us/andriy-pyatov/elfmeterstatistik/spieler/39996
1,15/16,LaLiga,Real Madrid,"Sep 12, 2015",RCD Espanyol Barcelona,0:6,Real Madrid,17',0:2,Pau López,https://www.transfermarkt.us/pau-lopez/elfmeterstatistik/spieler/286415
1,14/15,European Qualifiers,Portugal,"Jun 13, 2015",Armenia,2:3,Portugal,29',1:1,Roman Berezovskiy,https://www.transfermarkt.us/roman-berezovskiy/elfmeterstatistik/spieler/15670
1,14/15,LaLiga,Real Madrid,"May 23, 2015",Real Madrid,7:3,Getafe CF,34',3:2,Jordi Codina,https://www.transfermarkt.us/jordi-codina/elfmeterstatistik/spieler/35462
